Platform ,Platform type ,MeanScore
Android,Mobile,7.50303
Arcade,Arcade,6.036364
Atari 2600,Home console,6.5
Atari 5200,Home console,8
Commodore 64/128,PC,6.416667
Dreamcast,Home console,7.37028
Dreamcast VMU,Handheld,3
Game Boy,Handheld,7.813636
Game Boy Advance,Handheld,6.629194
Game Boy Color,Handheld,6.199438
Game.Com,Handheld,5.333333
GameCube,Home console,7.036542
Genesis,Home console,6.525862
iPad,Mobile,7.704255
iPhone,Mobile,7.298896
iPod,Mobile,6.90625
Linux,PC,7.55
Lynx,Handheld,7.146341
Macintosh,PC,8.104286
Master System,Home console,6.769231
N-Gage,Handheld,6.73
NeoGeo,Home console,6.5
NeoGeo Pocket Color,Handheld,7.322581
NES,Home console,6.519565
Nintendo 3DS,Handheld,7.23815
Nintendo 64,Home console,6.974751
Nintendo 64DD,Home console,6.628571
Nintendo DS,Handheld,6.283173
Nintendo DSi,Handheld,6.369804
PC,PC,7.105849
PlayStation,Home console,6.56229
PlayStation 2,Home console,6.869162
PlayStation 3,Home console,7.186718
PlayStation 4,Home console,7.697872
PlayStation Portable,Handheld,6.75184
PlayStation Vita,Handheld,7.259649
Pocket PC,Handheld,8.5
Saturn,Home console,7.283333
Sega 32X,Home console,5.455556
Sega CD,Home console,7
Super NES,Home console,7.732143
TurboGrafx-16,Home console,6.6
TurboGrafx-CD,Home console,8
Vectrex,Home console,6.25
Web Games,PC,8
Wii,Home console,6.300074
Wii U,Home console,7.496154
Windows Phone,Mobile,6.757143
Windows Surface,Mobile,6.7
WonderSwan,Handheld,6.5
WonderSwan Color,Handheld,8.6
Xbox,Home console,7.199635
Xbox 360,Home console,7.104172
Xbox One,Home console,7.545714
